,이름,금액,페어링,주소,영문이름,나라,생산지,제조사,포도품종,알코올도수,평점,종류,산미,당도,바디감,탄닌,인기순위,추천순위,구매가능여부,이미지주소,평점지수
77,알파카 카베르네 소비뇽,9900,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03O752,ALPACA CABERNET SAUVIGNON,칠레,센트럴밸리,VSPT,"카베르네 소비뇽(Cabernet Sauvignon) 85%, 시라(Syrah) 15%",13.1,3.1,레드,3,0,3,3,108,449,구매 예약,https://www.winenara.com/uploads/product/550/1642_detail_040.png,3.7793374
78,닥터 린드만 빈65 샤르도네,13900,"버터맛치즈, 고소한치즈, 양파/마늘, 표고버섯/느타리버섯, 바닷가재/게, 돼지고기/닭고기, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04C878,LINDEMAN'S BIN 65 CHARDONNAY,호주,뉴 사우스 웨일즈 & 빅토리아,린드만 (Lindeman’s),샤르도네 (Chardonnay),13.5,3.3,화이트,3,0,3,0,109,612,구매 예약,https://www.winenara.com/uploads/product/550/1379_detail_015.png,3.977477885
79,빌라 엠,23000,"민트/바질, 파슬리, 짠맛치즈, 버터맛치즈, 고소한치즈, 감칠맛치즈, 상추/아보카도, 당근/호박, 양파/마늘, 찜, 생선, 바닷가재/게, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04B324,VILLA M,이탈리아,피에몬테,지아니 갈리아르도 (Gianni Gagliardo),모스카토 (Moscato) 100%,5,3.9,화이트,1,4,2,0,110,138,구매 불가,https://www.winenara.com/uploads/product/550/1368_detail_249.jpeg,4.57561837
80,캔달 잭슨 빈트너스 리저브 메를로,50000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03H354,KENDALL JACKSON VINTNER'S RESERVE MELOT,미국,캘리포니아,잭슨 패밀리 와인,"메를로 (Merlot) 94.6%, 말벡 (Malbec) 3.8%, 까베르네 소비뇽 (Cabernet Sauvignon) 0.7%, 까베르네 프랑 (Cabernet Franc) 0.5%, 쁘띠 베르도 (Petit Verdot) 0.3%, 까르메네르 (Carmenere) 0.1%,",13.5,3.7,레드,3,1,4,3,111,447,구매 예약,https://www.winenara.com/uploads/product/550/1073_detail_09.png,4.373758855
81,에스쿠도 로호 리제르바 샤르도네,24000,"버터맛치즈, 고소한치즈, 양파/마늘, 표고버섯/느타리버섯, 바닷가재/게, 돼지고기/닭고기, 새우",https://www.winenara.com/shop/product/product_view?product_cd=03O849,ESCUDO ROJO RESERVA CHARDONNAY,칠레,카사블랑카 밸리,바롱 필립 드 로칠드 마이포 칠레,샤르도네 (Chardonnay) 100%,14,3.6,화이트,3,0,2,0,112,551,구매 예약,https://www.winenara.com/uploads/product/550/1051_detail_020.png,4.27189934
82,프루노토 바롤로,75000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03H055,PRUNOTTO BAROLO,이탈리아,"피에몬테, 바롤로","프루노토, 안티노리",네비올로 (Nebbiolo) 100%,13.5,4,레드,4,0,4,4,113,513,구매 불가,https://www.winenara.com/uploads/product/550/954_detail_018.png,4.670039824
83,도멘 드 마르꾸 꼬뜨 뒤 론,42000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03R292,DOMAINE DE MARCOUX COTES DU RHONE,프랑스,"론 밸리, 남부 론",도멘 드 마르꾸,"그르나슈 (Grenache) 80%, 무르베드르 (Mourvedre) 20%",14,3.8,레드,3,1,3,3,116,109,구매 예약,https://www.winenara.com/uploads/product/550/742_detail_081.png,4.464461279
84,닥터루젠 그라쳐 돔프롭스트 리슬링 드라이 GG,66000,"버터맛치즈, 고소한치즈, 양파/마늘, 표고버섯/느타리버섯, 바닷가재/게, 돼지고기/닭고기, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D730,DR. LOOSEN GRAACHER DOMPROBST RIESLING GG,독일,"독일, 모젤",WEINGUT DR. LOOSEN,리슬링(RIESLING) 100%,12.5,4,화이트,4,1,4,0,119,30,구매 예약,https://www.winenara.com/uploads/product/550/2610_detail_013.png,4.658882733
85,피에르 뤼통 화이트,25000,"버터맛치즈, 고소한치즈, 양파/마늘, 표고버섯/느타리버섯, 바닷가재/게, 돼지고기/닭고기, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D304,PIERRE LURTON BORDEAUX WHITE,프랑스,보르도,피에르 뤼통(Pierre Lurton),"소비뇽 블랑 (Sauvignon Blanc) 70%, 세미용 (Semillon) 30%",12,3.8,화이트,3,1,2,0,123,90,구매 불가,https://www.winenara.com/uploads/product/550/1535_detail_090.png,4.451444673
86,산타 크리스티나 비앙코,18000,"민트/바질, 파슬리, 짠맛치즈, 버터맛치즈, 고소한치즈, 감칠맛치즈, 상추/아보카도, 당근/호박, 양파/마늘, 찜, 생선, 바닷가재/게, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04A939,SANTA CRISTINA BIANCO,이탈리아,움브리아,안티노리,"그레케토(Grechetto), 프로카니코(Procanico)",12,3.6,화이트,3,0,2,0,124,542,구매 예약,https://www.winenara.com/uploads/product/550/946_detail_015.png,4.249585157
87,마푸 리제르바 샤르도네,16900,"민트/바질, 파슬리, 짠맛치즈, 버터맛치즈, 고소한치즈, 감칠맛치즈, 상추/아보카도, 당근/호박, 양파/마늘, 찜, 생선, 바닷가재/게, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D756,Mapu Reserva Chardonnay,칠레,"칠레, 마울레 밸리",바롱 필립 드 로칠드 칠레,샤르도네(Chardonnay) 100%,14,3.3,화이트,4,1,4,0,125,120,구매 예약,https://www.winenara.com/uploads/product/550/2633_detail_015.png,3.947725642
88,산 텔모 리저브 카베르네 소비뇽,13900,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03Q268,SAN TELMO RESERVE CABERNET SAUVIGNON,아르헨티나,"아르헨티나, 멘도사",산 텔모 (San Telmo),카베르네 소비뇽(CABERNET SAUVIGNON) 100%,13.7,3.7,레드,4,1,4,4,126,333,구매 예약,https://www.winenara.com/uploads/product/550/2622_detail_015.png,4.345866127
89,배티그 비노 비네도 피노누아,42000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03Q232,BAETTIG VINO VINEDO PINOT NOIR,칠레,"칠레, 마에이코 밸리",BAETTIG WINE(VIA VINICA SPA),피노누아 (PINOT NOIR) 100%,13,3.8,레드,3,0,4,3,127,37,구매 예약,https://www.winenara.com/uploads/product/550/2603_detail_017.png,4.444006612
90,사이드웨이 피노 누아,30000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03P466,SIDEWAYS PINOT NOIR,칠레,카사블랑카 밸리,VIA WINES,피노 누아 100%,13.5,3.6,레드,3,1,3,3,128,1,구매 불가,https://www.winenara.com/uploads/product/550/1915_detail_017.png,4.242147097
