,이름,영문이름,종류,나라,생산지,제조사,포도품종,주포도품종,알코올도수,가격,평점,산도,당도,바디감,탄닌,주소
239,에라주리즈 에스테이트 샤르도네,ERRAZURIZ ESTATE CHARDONNAY,White,칠레,카사블랑카 밸리,비냐 에라주리즈,샤르도네(CHARDONNAY) 100%,샤르도네(CHARDONNAY) 100%,13,17500,3.5,1,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2958
240,카스텔로 데이 람폴라 사마르코,CASTELLO DEI RAMPOLLA SAMMARCO,Red,이탈리아,토스카나,카스텔로 데이 람폴라(CASTELLO DEI RAMPOLLA),"카베르네 소비뇽(CABERNET SAUVIGNON) 90%, 산지오베제(SANGIOVESE) 10%","카베르네 소비뇽(CABERNET SAUVIGNON) 90%, 산지오베제(SANGIOVESE) 10%",14.5,190000,4.2,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2953
241,카스텔로 데이 람폴라 달체오,CASTELLO DEI RAMPOLLA D'ALCEO,Red,이탈리아,토스카나,카스텔로 데이 람폴라(CASTELLO DEI RAMPOLLA),"카베르네 소비뇽(CABERNET SAUVIGNON) 85%, 산지오베제(SANGIOVESE) 15%","카베르네 소비뇽(CABERNET SAUVIGNON) 85%, 산지오베제(SANGIOVESE) 15%",14.5,350000,4.4,4,0,5,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2952
242,마스 가비넬 하히심,MAS GABINELE RARISSIME,Red,프랑스,남프랑스,마스 가비넬(MAS GABINELE),"시라(SYRAH)70%, 그르나슈(GRENACHE)25%, 무드베드르(MOURVEDRE) 5%","시라(SYRAH)70%, 그르나슈(GRENACHE)25%, 무드베드르(MOURVEDRE) 5%",15,90000,4.2,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2925
243,마쎄리아 도피오 파쏘 아파씨멘토,MASSERIA DOPPIO PASSO APPASSIMENTO,Red,이탈리아,풀리아,마쎄리아 도피오 파쏘(Masseria Doppio Passo),"네그로 아마로(NEGROAMARO)80%, 말바지아(MALVASIA)10%, 메를로(MERLOT)10%","네그로 아마로(NEGROAMARO)80%, 말바지아(MALVASIA)10%, 메를로(MERLOT)10%",14.5,27000,3.8,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2903
244,알파박스 앤 다이스 솔라,ALPHA BOX AND DICE XOLA,Red,호주,"호주, 남호주, 맥라렌 베일",알파박스&다이스 (ALPHA BOX AND DICE),알리아니코(AGLIANICO) 100%,알리아니코(AGLIANICO) 100%,14.2,49000,4.1,3,0,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2783
245,에스프리 드 생 피에르,ESPRIT DE SAINT PIERRE,Red,프랑스,"프랑스,보르도,생-쥴리앙",샤또 생 피에르(Chateau Saint-Pierre),"카베르네 소비뇽 (CABERNET SAUVIGNON) 75% , 메를로(MERLOT) 15% , 카베르네 프랑(CABERNET FRANC) 10%","카베르네 소비뇽 (CABERNET SAUVIGNON) 75% , 메를로(MERLOT) 15% , 카베르네 프랑(CABERNET FRANC) 10%",13.5,75000,3.9,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2776
246,쇼 앤 스미스 피노누아,SHAW AND SMITH M3 PINOT NOIR,Red,호주,"호주, 남호주, 애들레이드 힐",SHAW AND SMITH,피노누아 (PINOT NOIR) 100%,피노누아 (PINOT NOIR) 100%,12.5,59000,3.8,3,0,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=2749
247,앤젤린 캘리포니아 샤르도네,ANGELINE CALIFORNIA CHARDONNAY,White,미국,"미국, 캘리포니아",MARTIN RAY and ANGELINE WINERY,샤르도네(CHARDONNAY) 100%,샤르도네(CHARDONNAY) 100%,13.5,21900,3.5,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2746
248,벡스 리슬링,BEX RIESLING,White,독일,"독일, 나헤",Wineland GmbH,리슬링(RIESLING) 100%,리슬링(RIESLING) 100%,11.5,09900,3.9,3,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2742
249,룩벨레어 럭스 팬텀,LUC BELAIRE LUXE RARE BOUTEILLE,Sparkling,프랑스,-,룩 벨레어(Luc Belaire),샤르도네(Chardonnay) 100%,샤르도네(Chardonnay) 100%,12.5,88000,3.8,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2733
250,포르테주엘로 빈야드 로트 68 카리냥,PORTEZUELO VINEYARD LOT 68 CARIGNAN,Red,칠레,센트럴밸리,가라지와인(Garage Wine Co.),"카리냥(CARIGNAN) 87%, 생소(CINSAULT) 13%","카리냥(CARIGNAN) 87%, 생소(CINSAULT) 13%",13.7,80000,3.9,4,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2675
251,산 텔모 샤르도네,SAN TELMO CHARDONNAY,White,아르헨티나,"아르헨티나, 멘도사",산 텔모 (San Telmo),샤르도네(CHARDONNAY) 100%,샤르도네(CHARDONNAY) 100%,13.7,12900,3.3,3,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2621
252,하트포드 코트 러시안 리버 밸리 샤르도네,Hartford Court Russian River Valley Chardonnay,White,미국,"소노마, 러시안 리버 밸리",잭슨 패밀리 와인,샤르도네 100%,샤르도네 100%,14.5,99000,4.1,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2582
253,리치텔리 데 라 카사 틴토,RICCITELLI DE LA CASA TINTO,Red,아르헨티나,Mendoza,리치텔리 (Matías Riccitelli),말벡 100%,말벡 100%,14,49000,4.1,2,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2580
254,[매그넘와인]캔달 잭슨 빈트너스 리저브 샤르도네,KENDALL JACKSON VINTNER'S RESERVE CHARDONNAY,White,미국,캘리포니아,잭슨 패밀리 와인,샤르도네 (Chardonnay) 100%,샤르도네 (Chardonnay) 100%,13.5,110000,3.9,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2020
255,소피 바롱 그랑 리저브 브뤼,SOPHIE BARON GRANDE RESERVE BRUT,Champagne,프랑스,샹파뉴,바롱 퓌엔터 CHAMPAGNE BARON FUENTE,"피노 뮈니에(PINOT MEUNIER) 60%, 샤르도네(CHARDONNAY) 30%, PINOT NOIR(피노누아) 10%","피노 뮈니에(PINOT MEUNIER) 60%, 샤르도네(CHARDONNAY) 30%, PINOT NOIR(피노누아) 10%",12,45000,3.7,4,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1940
256,티터 토터 카베르네 쇼비뇽,TEETER TOTTER CABERNET SAUVIGNON,Red,미국,"캘리포니아, 나파 밸리",펫 맹 와인즈,카베르네 쇼비뇽 100%,카베르네 쇼비뇽 100%,14.1,180000,4.3,3,1,5,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1916
257,칠카스 샤르도네,CHILCAS CHARDONNAY,White,칠레,마울레 밸리,,샤르도네 100%,샤르도네 100%,14.3,35000,4.3,3,1,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1873
258,칠카스 리제르바 카베르네 소비뇽,CHILCAS RESERVA CABERNET SAUVIGNON,Red,칠레,"콜차구아 코스타, 롤로",칠카스,"카베르네 소비뇽 91%, 카베르네 프랑 6%, 쁘띠 베르도 3%","카베르네 소비뇽 91%, 카베르네 프랑 6%, 쁘띠 베르도 3%",14.2,49000,3.4,3,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1872
259,샤또 라 프랑스 델 옴므 메독CB,CH. LA FRANCE DEL HOMME,Red,프랑스,"보르도, 메독",,메를로 (Merlot) 100%,메를로 (Merlot) 100%,12,45000,3.9,3,0,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=1569
260,닥터 린드만 빈50 쉬라즈,LINDEMAN'S BIN 50 SHIRAZ,Red,호주,뉴 사우스 웨일즈 & 빅토리아,린드만 (Lindeman’s),쉬라즈 (Shiraz),쉬라즈 (Shiraz),13.5,20000,3.5,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1382
261,쿠네 리오하 크리안자,CUNE RIOJA CRIANZA,Red,스페인,리오하 알타,쿠네,"템프라니요 (Tempranillo) 80%, 가르나차 틴타 (Garnacha Tinta) 10%, 마주엘로 (Mazuelo) 10%","템프라니요 (Tempranillo) 80%, 가르나차 틴타 (Garnacha Tinta) 10%, 마주엘로 (Mazuelo) 10%",13.5,29000,3.5,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1259
262,임페리얼 리오하 그란 레세르바,CUNE IMPERIAL RIOJA GRAN RESERVA,Red,스페인,리오하 알타,쿠네,"템프라니요 (Tempranillo) 85%, 그라시아노 (Graciano) 10%, 마주엘로 (Mazuelo) 5%","템프라니요 (Tempranillo) 85%, 그라시아노 (Graciano) 10%, 마주엘로 (Mazuelo) 5%",13.7,180000,4.3,4,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1257
263,아콩카구아 코스타 샤르도네,ACONCAGUA COSTA CHARDONNAY,White,칠레,아콩카구아 코스타,비냐 에라주리즈,샤르도네 (Chardonnay) 100%,샤르도네 (Chardonnay) 100%,13.5,52000,3.9,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1210
264,루이 라뚜르 아데슈 샤르도네,LOUIS LATOUR ARDECHE CHARDONNAY,White,프랑스,"론, 아데슈",루이 라뚜르,샤르도네 (Chardonnay) 100%,샤르도네 (Chardonnay) 100%,13,25000,3.6,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1086
265,에리미나 레드,HERRI MINA RED,Red,프랑스,"남서부, 이룰레기","장 끌로드, 올리비에&제프 베루에",까베르네 프랑(Cabernet Franc) 100%,까베르네 프랑(Cabernet Franc) 100%,13,99000,3.7,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1069
266,마르케제 안티노리 키안티 클라시코 리제르바,MARCHESE ANTINORI CHIANTI CLASSICO RISERVA,Red,이탈리아,"토스카나, 키안티 클라시코",안티노리,"산지오베제 (Sangiovese) 90%, 까베르네 소비뇽 (Cabernet Sauvignon) 10%","산지오베제 (Sangiovese) 90%, 까베르네 소비뇽 (Cabernet Sauvignon) 10%",13.5,90000,4.2,4,0,3,5,https://www.winenara.com/goods/goods_view.php?goodsNo=927
267,프루노토 바르바레스코,PRUNOTTO BARBARESCO,Red,이탈리아,"피에몬테, 바르바레스코","프루노토, 안티노리",네비올로(Nebbiolo) 100%,네비올로(Nebbiolo) 100%,13,75000,3.9,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=754
268,트림바크 게부르츠트라미너,TRIMBACH GEWURZTRAMINER,White,프랑스,알자스,트림바크,게부르츠트라미너(Gewurztraminer) 100%,게부르츠트라미너(Gewurztraminer) 100%,13,39000,3.9,2,1,3,1,https://www.winenara.com/goods/goods_view.php?goodsNo=745
269,카멜로드 카베르네 소비뇽,CARMEL ROAD CALIFORNIA CABERNET SAUVIGNON,Red,미국,"캘리포니아, 몬테레이",잭슨 패밀리 와인,카베르네 소비뇽 (Cabernet Sauvignon) 100%,카베르네 소비뇽 (Cabernet Sauvignon) 100%,13.9,70000,3.7,2,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2883
270,트림바크 리저브 리슬링,TRIMBACH RESERVE RIESLING,White,프랑스,"프랑스, 알자스",트림바크,리슬링(Riesling) 100%,리슬링(Riesling) 100%,13,50000,3.7,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2855
271,알비스,ALBIS,Red,칠레,마이포 밸리,하라스 데 피르케,"까베르네 소비뇽(Carbernet Sauvignon) 80%, 까르메네르(Carmenere) 20%","까베르네 소비뇽(Carbernet Sauvignon) 80%, 까르메네르(Carmenere) 20%",14.5,110000,4.3,4,0,5,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2835
272,조단 카베르네 소비뇽,JORDAN CABERNET SAUVIGNON,Red,미국,"미국,캘리포니아,소노마",조단 와이너리(Jordan Vineyard & Winery),"카베르네 소비뇽(CABERNET SAUVIGNON) 80%, 메를로(MERLOT) 11%, 쁘띠 베르도(PETIT VERDOT) 7%, 말벡(MALBEC) 2%","카베르네 소비뇽(CABERNET SAUVIGNON) 80%, 메를로(MERLOT) 11%, 쁘띠 베르도(PETIT VERDOT) 7%, 말벡(MALBEC) 2%",13.8,150000,4.3,3,0,5,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2777
273,카띠에르 브뤼 로제 프리미에 크뤼,CATTIER BRUT ROSE PREMIER CRU,Champagne,프랑스,상파뉴,CHAMPAGNE CATTIER,"피노 므니에(PINOT MEUNIER) 50%, 피노 누아(PINOT NOIR) 40% , 샤르도네(CHARDONNAY) 10%","피노 므니에(PINOT MEUNIER) 50%, 피노 누아(PINOT NOIR) 40% , 샤르도네(CHARDONNAY) 10%",12.5,99000,3.9,2,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2768
274,마틴 레이 소노마 코스트 샤르도네,MARTIN RAY SONOMA COAST CHARDONNAY,White,미국,"미국,캘리포니아,소노마",MARTIN RAY and ANGELINE WINERY,샤르도네(CHARDONNAY) 100%,샤르도네(CHARDONNAY) 100%,13.8,32000,3.7,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2743
275,산 후안 드 피르케 빈야드 카베르네 소비뇽 로트 91,SAN JUAN DE PIRQUE VINEYARD CABERNET SAUVIGNON LOT 91,Red,칠레,마이포 밸리,가라지와인(Garage Wine Co.),"카베르네 소비뇽(CABERNET SAUVIGNON) 95% , 카베르네 프랑(CABERNET FRANC) 5%","카베르네 소비뇽(CABERNET SAUVIGNON) 95% , 카베르네 프랑(CABERNET FRANC) 5%",13.9,80000,4.1,3,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2676
276,닥터루젠 리슬링 드라이,DR. LOOSEN RIESLING DRY,White,독일,"독일, 모젤",,리슬링 (RIESLING) 100%,리슬링 (RIESLING) 100%,12,18000,3.8,4,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2655
277,아미치 나파밸리 카베르네 소비뇽,AMICI NAPA VALLEY CABERNET SAUVIGNON,Red,미국,"미국, 캘리포니아,나파",AMICI CELLARS,"카베르네 소비뇽(CABERNET SAUVIGNON) 91% , 메를로(MERLOT) 4%, 쁘띠 베르도(PETIT VERDOT) 3% , 카베르네 프랑(CABERNET FRANC) 2%","카베르네 소비뇽(CABERNET SAUVIGNON) 91% , 메를로(MERLOT) 4%, 쁘띠 베르도(PETIT VERDOT) 3% , 카베르네 프랑(CABERNET FRANC) 2%",14.7,150000,4.2,3,0,5,5,https://www.winenara.com/goods/goods_view.php?goodsNo=2647
278,마푸 리제르바 카베르네 소비뇽,Mapu Reserva Cabernet Sauvignon,Red,칠레,"칠레, 마울레 밸리",바롱 필립 드 로칠드 마이포 칠레,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,13.5,21000,3.3,4,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2631
279,와일드얼스 피노그리,WILD EARTH PINOT GRIS,White,뉴질랜드,"센트럴 오타고, 뉴질랜드",Wild earth,피노그리(PINOT GRIS),피노그리(PINOT GRIS),13,45000,3.8,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2558
280,제나토 크레사소,ZENATO CRESASSO,Red,이탈리아,베네토,제나토,코르비나,코르비나,13.5,129000,4.2,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1939
281,카이,KAI,Red,칠레,아콩카구아 밸리,비냐 에라주리즈,"카르메네르 95%, 쁘띠 베르도 5%","카르메네르 95%, 쁘띠 베르도 5%",14.5,290000,4.5,4,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1874
282,어니스트 레미 브뤼,ERNEST REMY BRUT,Champagne,프랑스,그랑크뤼 메이 - 샴페인,어니스트 레미,피노 누아 100%,피노 누아 100%,12,120000,4.0,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1862
283,마르쿠스 몰리터 브라우네베르거 만델그라벤,MARKUS MOLITOR BRAUNEBERGER MANDELGRABEN 2 STARS,Red,독일,모젤,마르쿠스 몰리터,피노 누아,피노 누아,13,130000,4.0,2,1,4,2,https://www.winenara.com/goods/goods_view.php?goodsNo=1818
284,도멘 드 마르꾸 샤또네프 뒤 파프 비에이 비뉴,DOMAINE DE MARCOUX CHATEAUNEUF DE PAPE VIELLES VIGNES,Red,프랑스,"꼬뜨 뒤 론, 남부 론, 샤또네프 뒤 파프",도멘 드 마르꾸,그르나슈 100%,그르나슈,15,400000,4.4,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1802
285,더 페데럴리스트 샤르도네,THE FEDERALIST CHARDONNAY,White,미국,"캘리포니아, 멘도치노 카운티",델라토 패밀리 빈야드,샤르도네 100%,샤르도네 100%,13.5,100000,3.7,4,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1801
286,샤삐옹 시엔드라,CHAPILLON SIENDRA,Red,스페인,"아라곤, 카라타유드",샤삐옹,"가르나차 80%, 카베르네 소비뇽 7%, 시라 7%, 메를로 6%",가르나챠,14.5,29000,3.8,3,0,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=1720
287,브레머튼 쿨사드 카베르네 소비뇽,BREMERTON COULTHARD CABERNET SAUVIGNON,Red,호주,랑혼,브레머튼 와인즈,카베르네 소비뇽 100%,카베르네 소비뇽 100%,14.5,36000,3.9,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1713
288,티렐 루나틱 히스코트 쉬라즈,TYRRELL LUNATIQ HEATHCOTE SHIRAZ,Red,호주,"빅토리아, 히스코트 (Heathcote)",티렐스 와인 (Tyrrell’s Wines),쉬라즈 (Shiraz) 100%,쉬라즈 (Shiraz) 100%,13.5,90000,4.0,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1584
289,티렐 루퍼스스톤 히스코트 쉬라즈,TYRRELL LUFUS STONE HEATHCOTE SHIRAZ,Red,호주,"빅토리아, 히스코트 (Heathcote)",티렐스 와인 (Tyrrell’s Wines),쉬라즈 (Shiraz) 100%,쉬라즈 (Shiraz) 100%,14.5,60000,3.8,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1583
290,카포 디 스타토,CAPO DI STATO,Red,이탈리아,베네토,베네가쭈(Venegazzu),"카베르네 소비뇽(Cabernet Sauvignon) 65%, 말벡(Malbec) 5%,카베르네 프랑(Cabernet Franc) 20%, 메를로(Merlot) 10%","카베르네 소비뇽(Cabernet Sauvignon) 65%, 말벡(Malbec) 5%,카베르네 프랑(Cabernet Franc) 20%, 메를로(Merlot) 10%",13,119000,4.3,3,1,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1487
291,보리우 빈야드 (BV) 나파 밸리 카베르네 소비뇽,BV NAPA CABERNET SAUVIGNON,Red,미국,"미국, 캘리포니아, 나파밸리 (Napa Valley)",보리우 빈야드 (Beaulieu Vineyard),까베르네 소비뇽 100%,까베르네 소비뇽 100%,14.6,110000,3.9,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1428
292,칠카스 카베르네 소비뇽,CHILCAS CABERNET SAUVIGNON,Red,칠레,센트럴 밸리,칠카스,카베르네 소비뇽 (Cabernet Sauvignon) 100%,카베르네 소비뇽 (Cabernet Sauvignon) 100%,13.2,35000,3.2,3,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1067
293,맥스 리제르바 피노누아,MAX RESERVA PINOT NOIR,Red,칠레,카사블랑카 밸리,비냐 에라주리즈,피노 누아 (Pinot Noir) 100%,피노 누아 (Pinot Noir) 100%,13.5,35000,3.6,3,1,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=1032
294,"피안 델레 비네, 브루넬로 디 몬탈치노",PIAN DELLE VIGNE BRUNELLO DI MONTALCINO,Red,이탈리아,"토스카나, 몬탈치노",안티노리,산지오베제 100%,산지오베제 100%,14,180000,4.3,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=951
295,쥬스토 디 노트리,GUISTO DI NOTRI,Red,이탈리아,토스카나,뚜아 리따,"까베르네소비뇽60%,메를로30%,까베르네프랑10%","까베르네소비뇽60%,메를로30%,까베르네프랑10%",14.5,180000,4.2,4,1,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=694
296,에스쿠도 로호 그란 리제르바,ESCUDO ROJO GRAN RESERVA,Red,칠레,마이포 밸리,바롱 필립 드 로칠드 마이포 칠레,"카베르네 소비뇽 44%, 카르메네르 39%, 시라 11%, 카베르네 프랑 2%, 쁘띠 베르도 4%","카베르네 소비뇽 44%, 카르메네르 39%, 시라 11%, 카베르네 프랑 2%, 쁘띠 베르도 4%",14.5,49000,3.6,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=530
297,샤또 루빈 인스파이어 프로방스 루즈,CHATEAU ROUBINE INSPIRE PROVENCE ROUGE,Red,프랑스,프로방스,샤또 루빈(ROUBINE),"카베르네 소비뇽(CABERNET SAUVIGNON) 50%, 시라(SYRAH) 50%","카베르네 소비뇽(CABERNET SAUVIGNON) 50%, 시라(SYRAH) 50%",14,65000,4.0,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=3177
298,샤또 루빈 라이온 앤 드래곤 프로방스 블랑,CHATEAU ROUBINE LION & DRAGON PROVENCE BLANC,White,프랑스,프로방스,샤또 루빈(ROUBINE),"롤(ROLLE) 50%, 세미용(SEMILLON) 50%","롤(ROLLE) 50%, 세미용(SEMILLON) 50%",13,45000,4.1,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3176
299,샤또 루빈 라이온 앤 드래곤 프로방스 루즈,CHATEAU ROUBINE LION & DRAGON PROVENCE ROUGE,Red,프랑스,프로방스,샤또 루빈(ROUBINE),"카베르네 소비뇽(CABERNET SAUVIGNON) 50%, 시라(SYRAH) 50%","카베르네 소비뇽(CABERNET SAUVIGNON) 50%, 시라(SYRAH) 50%",12.5,45000,4.3,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=3175
300,샤또 루빈 라이온 앤 드래곤 프로방스 로제,CHATEAU ROUBINE LION & DRAGON PROVENCE ROSE,Rose,프랑스,프로방스,샤또 루빈(ROUBINE),"그르나슈(GRENACHE) 50%, 티부렌(TIBOUREN) 30%, 롤(ROLLE) 10%, 무르베드르(MOURVEDRE) 10%",그르나슈,12.5,45000,4.2,3,0,3,1,https://www.winenara.com/goods/goods_view.php?goodsNo=3174
301,샤또 루빈 라 비 앙 로제,CHATEAU ROUBINE LA VIE EN ROSE,Rose,프랑스,프로방스,샤또 루빈(ROUBINE),"그르나슈(GRENACHE_ 50%, 생소(CINSAULT) 40%, 시라(SYRAH) 10%",그르나슈,12.5,25000,3.9,2,0,3,1,https://www.winenara.com/goods/goods_view.php?goodsNo=3173
302,샤또 드 샤샤뉴 몽라쉐 루즈,CHATEAU DE CHASSAGNE MONTRACHET ROUGE,Red,프랑스,부르고뉴,도멘 바데 뮈뮈르(BADER MIMEUR),피노 누아(PINOT NOIR) 100%,피노 누아(PINOT NOIR) 100%,12.5,75000,4.2,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=3171
